ordinal   number    name                        hash
190       2         NtAcceptConnectPort  da1ea8f7bf9fe698bb5b7d8a3dd5e21c75ae7ebb0ffaca7024d85f2a142c8ca4
191       0         NtAccessCheck  b4d689ab83ea372d7353b22d0099845829ebca03fc8edeb0f094ac2d9cb4f55e
192       29        NtAccessCheckAndAuditAlarm  8d4385bfe49adf437215b4cf7795874072c8e14335089ccf333ddc8b670c70fc
193       63        NtAccessCheckByType  45c22b8acae13b759fda8381b0e251371a39d2ad8e9e5acc239eeaae7858ed28
194       59        NtAccessCheckByTypeAndAuditAlarm  025417c80054252767f7ec688ae6a8a7b6328bdb7122157c4a4742e7ddb39098
195       64        NtAccessCheckByTypeResultList  e9d9520779f4c305a260e5eecb1e32d4763076bd325069f18d28b57bd5a02658
196       65        NtAccessCheckByTypeResultListAndAuditAlarm  0d7d49f8d6c8bf50930236ec7030e0335bcf1a381db10643540dcbd6bc7c53f6
197       66        NtAccessCheckByTypeResultListAndAuditAlarmByHandle  ee3fc2e708417a29b6aefa154a00c36bb6c8f01bf2bbc6bc3b41870277599d02
198       67        NtAcquireCrossVmMutant  fcdc73d2f8603cafcd71bb0955db9fca03c4bff735d5187836c0d925a6fb6d93
199       68        NtAcquireProcessActivityReference  c44527fe0ec449ea20db82b65832b9d8934dac2b7973c152daddd6c7837f2e4a
200       47        NtAddAtom   f26102c0c558255bd13c9b5204baef55adc3a11a8945de4d3861801f584ea0ef
201       69        NtAddAtomEx  d215f6c2d6330c4df466ede90d1122bfc7a9955b462138dda2c328121007c226
202       6a        NtAddBootEntry  3a3a92a3bd188d3a09997b0f31aaafd97d958684f1c2d89f6b76bdc653f3031a
203       6b        NtAddDriverEntry  5d7b4fac181f01071d18dcf2fddc8b77406fba914206d50ac144af06fc55be86
204       6c        NtAdjustGroupsToken  dfdd94c64ed0ff2b1701f3a5f0825adcfa15426b8a400cc724562cc97739b716
205       41        NtAdjustPrivilegesToken  36cb6bfc34898bc186c81302124d62b2c7c70a4372b2d2352c5aad8fd3d13530
206       6d        NtAdjustTokenClaimsAndDeviceGroups  eb0a0b7aa7e505ef663603a56d5a9e7749496705f05fcea9591ce98e265bff1e
207       6e        NtAlertResumeThread  261e4b73cec410bf8ac31f6cc88608ed223c96d82bb4944a8008aef3514f292b
208       6f        NtAlertThread  e1ab2743f9a8d742b1e432d93c8f92b1fa502edc2424b096408e9ed51d985b5c
209       70        NtAlertThreadByThreadId  b93b2254fb07a51f2f893fffaecfe0e9d534c69990013dce1bf3c691ca0f6f60
210       71        NtAllocateLocallyUniqueId  06d7a6145881a520c080ed297cbce08afeb6ec076224cf7feaf20dedb311a0bb
211       72        NtAllocateReserveObject  e0d2aff1b3f33fde7c7ebde8fc4b488a6a7a1eb53fc7619bc654e4f52086695b
212       73        NtAllocateUserPhysicalPages  50494549b341074399e3416de5f1cd55dc63c9211a912beccb057399dea0efa3
213       74        NtAllocateUserPhysicalPagesEx  567d0107b325793eb5b34fb62d34d7746d1ed27350df94185ffdc55459b55388
214       75        NtAllocateUuids  ed8873aecdc5829aa479a9c2a4dd478a332b1cd35fa23b31392a6dc29c4ea1ac
215       18        NtAllocateVirtualMemory  12b76c5b3306b0f158cc6e037df766a24d94e2859cfa08bb3918cf56605d3504
216       76        NtAllocateVirtualMemoryEx  9d2636bc0becc09f765488326169caa67d2ac03a5baf20c5b6aa76fb150efed7
217       77        NtAlpcAcceptConnectPort  e3300b5d4e42b74cf0a7d492516c0bcacf9f9e77dfb01cae70721aebbc6ea586
218       78        NtAlpcCancelMessage  a5031c9482bc3934f1c09c3e83dec812d0884473a240f0806871967e5a2ce969
219       79        NtAlpcConnectPort  1f25205e5a64af4e3eb5193f367b1e4bf9bf3080107355acdaff51c8b132e077
220       7a        NtAlpcConnectPortEx  2ddd363ea0818b8c3455bb77f35bf3f791aa609699a4a8895a3548f9df423053
222       7c        NtAlpcCreatePortSection  641ac49dda6f8c7faf42b5e49075c30669a10bdf2e03cf9938c9ecb91a033e0a
223       7d        NtAlpcCreateResourceReserve  09610a30cc70f3460e5c222fb5ac72df06f31697fb64ff1a811722cec04c457b
224       7e        NtAlpcCreateSectionView  01be06fe2ad9a81ca638d1c32dee49ec80e77bd6472ab9a30dcaa9e8dba627f4
225       7f        NtAlpcCreateSecurityContext  e88ad869a05328ae1d43f1849d8163b9e8fdf93688b46f87fec4c60f73e815f7
226       80        NtAlpcDeletePortSection  0bfc25819a98cd51aa05009f4d39a08ed9ecd6961d5d346380165de5cefca381
227       81        NtAlpcDeleteResourceReserve  129c46821052f89088209a32f8a598666a8abee39e7b6c3800a04124b1b6a68d
228       82        NtAlpcDeleteSectionView  2b30b8bde2b04119a00936f284daa9552d3fd228e76c450f47a7ae71ac03fc13
229       83        NtAlpcDeleteSecurityContext  daf2b64bda618c9aa6a3692ee0fb5c9a733661fb9d997672915de5995da0c297
230       84        NtAlpcDisconnectPort  fdaa5f513cacbb4dc1dc0f6e3f3e9d8b42089126d0dd47c1d046ebd0e68c0383
231       85        NtAlpcImpersonateClientContainerOfPort  08e9a4a70c05f70be92a54f0b4dc6c3d6000e37c5caab32e9c4afabb7ea2d3f3
232       86        NtAlpcImpersonateClientOfPort  b1fa3b8ac6a0735a5fde6885e8e1d08afd83692fe353809edb2d6c632a785ae9
233       87        NtAlpcOpenSenderProcess  9a984b876f398b79342c743dc9a377aca0bf8226a189c93a8c1f6f269f92392a
234       88        NtAlpcOpenSenderThread  8de1b63bc6ff79e5c17f2c7c465166f277c9aec9a84fa646f82a61d097bc5af8
235       89        NtAlpcQueryInformation  145d3092b1457c1fec91de2a45b4fb569b555bbe9e1458519d794dae66b55474
236       8a        NtAlpcQueryInformationMessage  f22b056f1d147124849683c3d72c3b2a7e3e1aab4fd97d1cc45c02b6216bdc56
237       8b        NtAlpcRevokeSecurityContext  bd47849642666aad2d7fa06d12660c069772360d55b7f98b3e1b211a6be2f257
238       8c        NtAlpcSendWaitReceivePort  3cf64b5faecf09f3a9b629a1204de80fdde08ab9a9bf4c44c72eb1d030d3e8a3
239       8d        NtAlpcSetInformation  ce42fa671cefa3d23e68745941204652219f8bb0a2dcf275752cc8120853b584
240       4c        NtApphelpCacheControl  1fcdbf9e69352df9840d4fee378b9f3c3dbd17c8d0fd1a17ddd55e636184db83
241       8e        NtAreMappedFilesTheSame  d384eae4ed6308fbc686626ed0c83276a8dd4c7c111fe50598dd10c7538beeb5
242       8f        NtAssignProcessToJobObject  0a96eac6ab8e4984259b7258419cb7e87079c26f46216e3ccaa1a6df204cceef
243       90        NtAssociateWaitCompletionPacket  9dd5884e65a4b407dd43db608fc10fbb0497b4b69fddeee5edcb137eb94a012b
244       91        NtCallEnclave  0f378d9b9721c73e45d8f29ff6e1d686a6fc2b8a2b4f0382e92df722736027c5
245       5         NtCallbackReturn  0d420c8aa25513556e51754ecf588d32742db99cb299262d981871defe089f9c
246       5d        NtCancelIoFile  a71dbb778975eb72add61e2b8ce47f8cf4093b967964c38d602ae851d64a11df
247       92        NtCancelIoFileEx  30ecb1d5e2b26830fcc57c5fb2dece866aa6c3b30c6648bc25ddc2b314af1157
248       93        NtCancelSynchronousIoFile  b63903197819e7309bffbbd9fff1d6451c0bb2ccb88b8e701705c6658d8224e8
249       61        NtCancelTimer  87f6aa1a951bf1984d1b99b6a9b9b4530b40536e1ec4beafbee1f3c6c6a8866f
250       94        NtCancelTimer2  ae54f9739ce77da8ca3bab947aa23bfe1bd4ab1fb40ac0f5c933addac480eb16
251       95        NtCancelWaitCompletionPacket  0df033fa4c4616544440cac3a78daa9fa3ea68d3698ede1dc85713da945433e7
252       3e        NtClearEvent  9e7c60a9d7040a94e12760e6e0a162c32122d63c27803e60e3b4d8f16c608149
253       f         NtClose     7d86a3c287cc4e67310a555a92c8a3ab46b3b37b3311138843df89ad24b5da45
254       3b        NtCloseObjectAuditAlarm  9323bea1e7500ce0808fd05e5cdb1487592ebcca801b6c60ed87791de7fcd7a6
255       96        NtCommitComplete  29ce579d8fca07fa38b60f01b308c1e39bd89e7c96390093af56b9c5cbabe588
256       97        NtCommitEnlistment  7919d821267c0b5eff59ef05320ce0809e5413be0625f11d86d3f1914e71afdc
257       98        NtCommitRegistryTransaction  dfbacc9a40bed6ffecadbea1b39e3d0eaba02b1bcec11cbd0c1dab69b224311a
258       99        NtCommitTransaction  d9f57f595c7c98d875622db9272d025147287ce453117e6e875621a93c1852f1
259       9a        NtCompactKeys  c77e7e2c0ab854f87efb98d696b77c22ab3cc40a54ceeac0119a0357fa28c5a9
260       9b        NtCompareObjects  916f76513a36c39fb473dfe8b7cc69f94a20814f27329ce082da6073718baa2f
261       9c        NtCompareSigningLevels  384389918b67d23d04046d6a063c8e3575c201983ed1992ec5e35aa4bbc87e16
262       9d        NtCompareTokens  89c336765e977326adc3beb6a8a87cb84b9f9d23f90ca4f5fbb5feaf91eb086b
263       9e        NtCompleteConnectPort  73423274068a760a7096a75c24598440a82aa4387c1b6d1a7f1bf41030b063ef
264       9f        NtCompressKey  0f4262089bdaba0024130e904c44f9331397419d318d3d7ffdaea3afd848ba08
265       a0        NtConnectPort  ec065dccbe031a2f7be91b2a3c5d307c3b77656f139cba49bbea607f512c87b5
266       43        NtContinue  a7a11ae03c3ce2e11f9ecc6ca13d212ec9aa24414b82df733d1e4cb0560f4ec5
267       a1        NtContinueEx  54a64f476b06ad2ab96ecde47e4e5714dd6c808596eec9cbb3366c6ed6388df2
268       a2        NtConvertBetweenAuxiliaryCounterAndPerformanceCounter  3a201b214f7ffd65efd5ec5af7e29211a985f2d4441738605036903a234b974b
269       a3        NtCreateCrossVmEvent  e64243e5e89f9fcaa16889103ca815f10a811fea32b50d619f2ac5b085761deb
270       a4        NtCreateCrossVmMutant  f080936b4ac91ae0172c6aae8946fa4e8e7ef2bb45f35a6260e8bca4b7dabea4
271       a5        NtCreateDebugObject  6a767ee3d3740b1640e71f88f0f05b38388b5db61949c3302aa59a64778ccede
272       a6        NtCreateDirectoryObject  9d8006da5b41661bb392c1b7cdcf25f5287648eaac93f0cd668449f698cc764b
273       a7        NtCreateDirectoryObjectEx  865b60807e0b2fe50cf127757900eb662039ec6aab1bae93ce95d1c731495ac5
274       a8        NtCreateEnclave  fc5a11db4ac2a4996da662a375e967bfe789b82e85f8ee86f6ee3e4330b74ec5
275       a9        NtCreateEnlistment  7d8adba0b5ba1bde87bce8b88a007a99da7846ef1a92bfc07344f24eb70fb71f
276       48        NtCreateEvent  3cbb6e4cbf0ec0a9b94245984597f9d17fd494ccaf32d8c7811ae7a96a9f28a0
277       aa        NtCreateEventPair  a5a12d7a7fcef33a9f8ded21290583e854b84a7f0526fcd2e40a3db49d2a60cd
278       55        NtCreateFile  1a20b63e330616d70157adaf71b97c0e895d326324496cbc8efb414e1b8722d4
279       ab        NtCreateIRTimer  ec026bd10ddf3adae64171d5c90195c5a3102cdc8963eb84131326dddc47d44a
280       ac        NtCreateIoCompletion  fc0c64212975e5f4ef7edddb9987a64599023e95a1db45dcf2951c9ad19e4c94
281       ad        NtCreateJobObject  0d5fd478dcd614a20f63cfc319873d1c77258ac61adff23a8e7709fb32199ca5
282       ae        NtCreateJobSet  e7ac1afc43df92f3e6d4e61d79095791f84f3edebdf1e5e6148b1efabf92bfbf
283       1d        NtCreateKey  476fa33cd26c5b78a8285764e90094d634c31fbd786e1bb63a2a8a7ad31abb57
284       af        NtCreateKeyTransacted  502f542375154bbfc7461bbd10c3062726bf4d8d37ad3205cb7d9ccf63cfb8eb
285       b0        NtCreateKeyedEvent  7557014cc051c3551999bfbc548272b38e89e22dab14b90b771fdc066f79e464
286       b1        NtCreateLowBoxToken  17b49ae2c6316f6b651376f5ff51bc03cf33ed53a53b24996c05a7e874340fa0
287       b2        NtCreateMailslotFile  0ae24469f5c6ff1c34b9b3da22da79803650e87b22bb55902b89609bc90abf48
288       b3        NtCreateMutant  56f998c729da8fd027c4d63f02d9c08e785fb9074003e47cf60e084c99889970
289       b4        NtCreateNamedPipeFile  41fad5641d81d7fd0b60d47795f141227ccb40ff8c8a1c5f23da96e4e14b51fe
290       b5        NtCreatePagingFile  73a213915f73f7f4a03a0c08054ef8a72260ca21a4862e960d2415677ebd5e28
291       b6        NtCreatePartition  c83d91705130e5fc9c38c7727d7fd469bafe09afb636bacc380adaabb37f65e2
293       b8        NtCreatePrivateNamespace  022871b555360001ce0fa78262464613c59cd8d97cd0eb13e5c35c7a91ce0dc5
294       b9        NtCreateProcess  4da01a50c3108a973a920304c72f676b5bbcc58e105a7294a67c69217662a87d
295       4d        NtCreateProcessEx  66ee7f030879d3959ee52dfb7f143995bd955c84195707ef3b22f90a2f9c9c5b
296       ba        NtCreateProfile  063ce978f1b00cda34063327256316752700eb34c0deb0459e265dad5e8d30df
297       bb        NtCreateProfileEx  38d6c4f26d3ccfa08b60d8b01243199c7088a0511479a00ad0129422157828fa
298       bc        NtCreateRegistryTransaction  427a2afb7489eecb21afce08cda46c90f1ed9f98588f2f5c57800586360cc9ed
299       bd        NtCreateResourceManager  00ade7b5c1fb47a92f1422251c40c7e1bb7c96bbabc3daa8390e1ac913cc84d8
301       be        NtCreateSectionEx  f4cc11b8eff9bf7bdfa6e90e172c68958b377bd080d8b40b122542371a9592ae
302       bf        NtCreateSemaphore  dd2e7cf8b4298f9ca5dfeb332273197aeb2ccd264c7fc12729f161d67ff5d791
303       c0        NtCreateSymbolicLinkObject  ce210011f4a601098e4296ff29c7108cce92f8724fc8fef12bb97e238e11f0b0
306       c2        NtCreateTimer  7e35b4ae9564e6632587fc56ef2206c09f0ee45de942a192aa19185eab0c7014
307       c3        NtCreateTimer2  a14bcd33db830b85e0c2f46a7bb8d1365c9c59083ecf3368537da6b2d85e8758
308       c4        NtCreateToken  297683e540f6d02c6888cb925816132404c36c6796aec72b975ccb47dfa9d98e
309       c5        NtCreateTokenEx  233daf14c43e0064faafcc9dca2fdf3dc5852f25243054888fee670505b3146a
310       c6        NtCreateTransaction  78814c16a213f903a6e9d5752e56c18cfd397bc0309c13bedb1f0204435ffb67
311       c7        NtCreateTransactionManager  eed0851edda70fe6e9eb9a027f8e245ab1237f4245c3ab4a789cd744a74ce139
312       c8        NtCreateUserProcess  3e428a89091c4fa986c214c30a90f5f859a09bfcb85cf28f96bb04c28fc11b3f
313       c9        NtCreateWaitCompletionPacket  f7a3b166d1ecaedfc5993c16ae0dfe90adc5b4722432b4d2dc0eca55e9f52bdb
314       ca        NtCreateWaitablePort  362864b623155e048db59d944d6eee41b14f589019ac7fb582b071d0ad2f56c3
315       cb        NtCreateWnfStateName  9e3c6c7cfe63a1f33b0fab60bf06a0d1add5dcefe299b24e0e8fb2ee7aee0b05
316       cc        NtCreateWorkerFactory  89a690f4874a8ce99b8f036192e69cb329a82fdce8475c7fbb2d167662413fc2
317       cd        NtDebugActiveProcess  62150824c7e16b0295f10c28bc2246f68416eee24e9f6930101b3934f718f94e
318       ce        NtDebugContinue  8a8ad1635093d947a0bd166599a2e9f16331b4f2386a0ad201840303ffdea555
319       34        NtDelayExecution  328bdb3fe91a720ba080bc741274748a848269b5e8e70c19f3b2bf804a645010
320       cf        NtDeleteAtom  9c54216fe8940e0edd1e99ba23e2e80a298927d766354a204fe49e3776416d01
321       d0        NtDeleteBootEntry  17e7401aad1c5735d9a0951cef87d852534124eebee1ae7f7322eae0b1793a83
322       d1        NtDeleteDriverEntry  99ccd3848292a8f2be003728c92b8727a9c05e8c32cdba865eea2a68ae3732cd
323       d2        NtDeleteFile  a1b404d461c55f107d47e53cb6272bc12cb7acace6dbe3ac466330e4a0a0dddf
324       d3        NtDeleteKey  7a7601435da306161b8159862cb8ac89b82d6d92665f2279a820743740f872a4
325       d4        NtDeleteObjectAuditAlarm  14d538e064668d88b6bacb44d8059e759633de7aea103648f20bdabdb94f68d7
326       d5        NtDeletePrivateNamespace  43be5373dfb45ce811c696b76d39d4ce052fb6139f6a6d75b765208fa4d231c2
327       d6        NtDeleteValueKey  992e87a9b1a0914d4016ecbf992234a683fe3d615f3a71f33b31293349ec8664
328       d7        NtDeleteWnfStateData  b44a8762bb19a881a04a02f75f36f120cd608f558b9c3117c2c770189dbdef0f
329       d8        NtDeleteWnfStateName  6089036d7d64a9ef0fd7cb6f06cda6fb3aba6bea3c5c1d035d9ba0da16c9daeb
330       7         NtDeviceIoControlFile  4a3ba62ade1f7128feaeed554ff95521189d67ee5803316c523c14a365018ed0
331       d9        NtDirectGraphicsCall  59d815c5b0fbc44793cbaca940c06a2d701252a67d776da42b54871d001112d1
332       da        NtDisableLastKnownGood  e389929a2a586a1e3da89407172f548be885e6d9b18fe38cc866a1e207931d87
333       db        NtDisplayString  13cc73e1095d166725900b8eb857c5d14c911f53dc57000fbf23640dbb1748a4
334       dc        NtDrawText  1becdb4ebe97dc27c610acd02e69cc0c1237f074af604a5ec0a863456b7387b2
335       3c        NtDuplicateObject  fd3790a4bd1ad9113f6e5f62f509b4db07157741345e6074586c0a9e15d1603d
336       42        NtDuplicateToken  817875bec1310219a2bda3924beaee12aaf1139f97522abe62e8bb8166e84dbe
337       dd        NtEnableLastKnownGood  e43a5e8763ab7aa98db0cceffb2a08b09e0f8d18401c05426a6ff825e4ae255f
338       de        NtEnumerateBootEntries  463474fd2e9f73ff0b8e5e75893609e5aa387380aaeb24b324816afcaa3c0245
339       df        NtEnumerateDriverEntries  88f55b049104d194099cd5c942405b6f522e90e4606a4412ac8dd0d9dda95332
340       32        NtEnumerateKey  2d64af68cded95db3d538f9af611642b441d14f3e9897032a08a279f24631086
341       e0        NtEnumerateSystemEnvironmentValuesEx  c32f9a1d42d97638a681115a475289d0e86b24f8955b7e2e455dcc72fe05d7c6
342       e1        NtEnumerateTransactionObject  2cd41e9fb04b26df73a189790323ee5e4f3d4fc4c3ac315b7d9e63e83698d424
343       13        NtEnumerateValueKey  2aa0c0d1afbe99aa01586824d7eef5009e54e559cb1709816591e2af2a82219c
344       e2        NtExtendSection  be88b12bd10b0cf45f976c11007026b58ae2d78e3943dac73dc1dfa2161561c3
345       e3        NtFilterBootOption  3d9fbe51297f295df0792af25620ad3c57d7963d682b68ccb88f624be9d8ea3b
346       e4        NtFilterToken  2e171a7352b554e2814cea5e654574f5388956f41d10ae3e3dc57e2f9561a918
347       e5        NtFilterTokenEx  a814c407d2ff93f35d7503cd4bfd74a3174e243ec2f72f663ae7919ec0404a7c
348       14        NtFindAtom  94c69aca2842fb9ff102e5c3fdb7fb8552297106a891072c3767dd56c110d3b4
349       4b        NtFlushBuffersFile  133a42e40aa5760affe61a90e224716fa11d825aae2dc1ceb45eb0b1a2fa1dba
350       e6        NtFlushBuffersFileEx  d0195d19dbfce239a3dab6433b0c653b66a4159955344a4ef5dfcffe151a047c
351       e7        NtFlushInstallUILanguage  744b30b5f7f36673c2bb417beeb27333fa5484e21762e806b798d03a904f32d5
352       e8        NtFlushInstructionCache  f7a46fc491b42070d2b5ffc575e7e567a86784a1f2ce17c91a2a7ada627b0f53
353       e9        NtFlushKey  69a9ec62eb35e88778c06f2292b5e400729385cf56d6392edfe17f57ceaea722
354       ea        NtFlushProcessWriteBuffers  32e04a93a7bcc3d062dc71e80c592f85bf2998dce6bf321cd2929897247f6c4c
355       eb        NtFlushVirtualMemory  8b241b9a999063d2ea80a2e3b8e254c1cf4fcdba180211f787cf248f5db07360
356       ec        NtFlushWriteBuffer  440d885b49a5a17d67b5214add3c44b48a04ed13f44c5a0869f0511da1fa55d4
357       ed        NtFreeUserPhysicalPages  d7802c02ca84c1bc3b3fc8bf0480a96e0ab3d4202819035274cb570dcb06699f
